model,series_id,row_count,mae,rmse,mape_percent,mape_excluded_zero_count,r2
lstm,40,32,0.5439763832092285,0.5499117181815402,23.638055901312917,0,-24.611704520939305
lstm,41,12,0.5299647316932677,0.5443596047191299,9.948247482857488,0,0.38339381660416183
lstm,44,32,0.5596736186742781,0.5698290164358443,18.293019305650287,0,-13.405269221501088
lstm,50,32,3.745315384864807,3.8703634461258942,16.694014456843036,0,-4.868127392235657
lstm,51,32,0.2931003737449646,0.33588866804772616,5.589709661731204,0,-2.7939530671977333
lstm,52,32,0.11978210806846612,0.1937711334059987,1.3881297992010806,0,0.7463491601156687
lstm,53,32,0.25367905664443924,0.2835007418414533,2.6582075135678553,0,-33.292339466518825
lstm,54,32,0.22706361699104316,0.28742507758798436,1.4917546205418422,0,-0.41275562235398167
lstm,55,32,0.4472767949104308,0.4694621631039441,18.81944158730805,0,-16.343379615937046
lstm,56,32,0.2676811021566391,0.30158714163554706,10.96096092510886,0,-6.1574476700375
lstm,57,32,0.5175799310207374,0.5297307009475158,4.295269137101555,0,
lstm,58,32,0.3880253732204438,0.40460573848356196,3.7000005689514435,0,-123.17388363004564
lstm,59,32,0.2962134063243866,0.3536689521295658,2.192626822104636,0,-4.303672429202327
lstm,60,32,0.10158558487892155,0.1270682157592437,1.0143980152398642,0,-2.0618228539235806
lstm,61,32,0.7214698314666748,0.7330315854229644,5.338420297788537,0,-100.89469491725316
random_forest,3,32,0.0449673659111083,0.06052431720833658,5.575590131370024,0,-4.253603402908093
random_forest,4,32,0.0003278506887766375,0.0003638691260163097,0.011708953170594196,0,
random_forest,6,32,0.029837449274108557,0.07747485108731753,0.9171387792993001,0,0.5520110049397895
random_forest,8,32,0.05163408187380736,0.06528842658363988,0.41307265499045887,0,
random_forest,10,32,0.04354776098590174,0.061809628366979195,0.6757877247967371,0,
random_forest,11,32,0.08681971354164719,0.08690442530945858,0.5223180937411093,0,
random_forest,12,32,0.09285540543734408,0.09427240475730912,1.6882800988608018,0,
random_forest,13,32,0.063502801711395,0.06355128724642994,0.2464501172483991,0,
random_forest,14,32,0.0007702254691916433,0.0011043602571408923,0.010648769102608091,0,
random_forest,16,32,0.4538586743235594,0.6192871866859839,6.537407129937539,0,0.8734701668919778
random_forest,17,23,0.3676290825518888,0.47017381469437014,1.6340891992464117,0,-1.5780984805297793
random_forest,18,32,0.2040927479343704,0.4081662856280147,2.8071214829906226,0,0.9162633659580646
random_forest,19,32,0.2563836505142854,0.4740545328765231,4.42878704740121,0,0.84567573697533
random_forest,20,32,0.5225095108221598,1.0383563153670425,9.443851663858332,0,0.42152270296449046
random_forest,21,32,0.05773850825451713,0.0858095986641934,2.873973862111903,0,0.8758814040162411
random_forest,22,32,1.16374196835078,1.8004907402620924,5.225390888154352,0,0.9164494274688384
random_forest,23,32,0.4976052442199162,1.0087326111920922,5.450549300021519,0,0.7611957434840807
random_forest,24,32,0.0009554710046799642,0.0010498933105403923,0.011854478966252656,0,
random_forest,25,32,0.037160067936088226,0.04833133503575917,0.6032478561053283,0,
random_forest,26,32,0.7349126429525323,1.013181385366838,4.113786743050145,0,0.5671471544926572
random_forest,28,32,0.048729671897381546,0.050277852085579965,3.8642106934332174,0,-30.259810259852625
random_forest,29,32,0.2784020695064259,0.4508297815074867,7.2400582033183305,0,0.5902381256432212
random_forest,30,32,0.2795309654783342,0.37896169490753157,6.586589870588052,0,0.43135932255830134
random_forest,31,32,0.3385553372875206,0.717559262017497,7.336442102442454,0,0.758082391962807
random_forest,32,32,0.05710585325715149,0.0680942191199045,2.422617051199537,0,-0.2709064298208643
random_forest,33,32,0.7057907384381255,1.1481067411492538,11.40544712640626,0,0.8572271644207812
random_forest,34,32,0.40008384883044096,0.6681608401208743,13.063868730041012,0,0.7071311774855386
random_forest,35,32,0.4445533326934195,0.8556453727220518,3.628668665220601,0,0.8084797942113965
random_forest,36,32,0.14522781907386179,0.20124619728387136,3.20061470915672,0,0.940006842114553
random_forest,37,32,0.04483315046543229,0.06848110802827088,1.8452739587337983,0,0.646563379611516
random_forest,38,32,0.07347802218652764,0.11422834916529652,1.9816795667236424,0,0.7883685434511386
random_forest,39,32,0.35318338545064637,0.5124557710157522,2.253022060753214,0,0.5090578196964208
random_forest,40,32,0.025993177128319875,0.04061766095080245,1.1063155605803998,0,0.8602723501734502
random_forest,41,12,0.1766713933282064,0.3331607735458627,3.5141318339767724,0,0.7690362517261864
random_forest,44,32,0.11923160046554153,0.18688939780104089,3.7925768865936056,0,-0.5495357051848302
random_forest,50,32,0.6828171755739897,0.8756643108813705,2.989542188227551,0,0.6996197778110178
random_forest,51,32,0.17499010526846537,0.21395451172267557,3.348747984215731,0,-0.5393740026719924
random_forest,52,32,0.18400221318632853,0.264889593639905,2.107737411600786,0,0.5259895242730013
random_forest,53,32,0.15812363712240524,0.16776935573121898,1.6584153023425152,0,-11.009197534919684
random_forest,54,32,0.06732165969954568,0.12056546238415863,0.4493956977871371,0,0.7514215006266911
random_forest,55,32,0.029967960075418798,0.0484267692387708,1.2248245598300402,0,0.8154544693723145
random_forest,56,32,0.03561514509118634,0.049223892369889506,1.4234013113432686,0,0.8093290878938666
random_forest,57,32,0.00038552322750656787,0.0003888897865841928,0.0031993628838719325,0,
random_forest,58,32,0.0662223025337137,0.073461964985842,0.6313280719709252,0,-3.0934667753859717
random_forest,59,32,0.2176824280099125,0.24338308453502527,1.6161033737948798,0,-1.5116759278629606
random_forest,60,32,0.028112255720343204,0.060408464649515194,0.2811047816632847,0,0.3080068548623722
