model,series_id,row_count,mae,rmse,mape_percent,mape_excluded_zero_count,r2,direction_accuracy_percent
ridge,51,193,0.1975998155399514,0.2568227117676971,3.178228064395893,0,0.4941294583895093,53.403141361256544
ridge,52,261,0.2458164054607525,0.2712633133866757,2.4502993157154713,0,0.7347622655793247,36.666666666666664
ridge,53,261,0.14416270688748345,0.16742211370559548,1.3858772001693025,0,0.8709240511405503,42.68292682926829
ridge,54,261,0.13111341015980946,0.16386728744020013,0.9431896965252368,0,0.8886703409328726,55.23809523809524
ridge,55,224,0.03536236369609839,0.04534802663298434,1.613273936531705,0,0.9098344818879075,41.07142857142857
ridge,56,261,0.03815097228594666,0.0513049616157786,1.6141081103517856,0,0.8363016737868202,48.125
ridge,57,261,0.10718501572103487,0.19799476142544467,0.7595768264509379,0,0.6684901878278844,58.68263473053892
ridge,58,248,0.11127587496849782,0.15709896706420104,1.0787202433824152,0,0.6460708849476566,58.620689655172406
ridge,60,261,0.06678238265815836,0.08150531638381726,0.57583865869144,0,0.421013631232553,38.775510204081634
ridge,61,261,0.04583126998647952,0.057456749533990506,0.32765344782931227,0,-0.23553277658411087,45.83333333333333
xgboost,3,261,0.16562325541641215,0.20098992747124986,20.743670105923893,0,0.41055002348462255,52.10727969348659
xgboost,6,261,0.050171128817444885,0.10156028407885534,1.292738719787487,0,0.9431076071761532,44.95412844036697
xgboost,8,261,0.04992688423829029,0.06669353090292691,0.38621683144404234,0,0.6413429082460484,30.76923076923077
xgboost,10,261,0.03924571639507974,0.05026662602660942,0.6392876975311562,0,0.9877931000588545,61.016949152542374
xgboost,11,261,0.11682412141724415,0.14413031012798902,0.7346953766723529,0,0.8855808652510746,44.44444444444444
xgboost,12,261,0.05787233151256815,0.06841915884294282,1.155764379844566,0,0.9015094231161719,23.52941176470588
xgboost,13,261,0.280656534764471,0.3926437579790885,1.081331581910966,0,0.6053567599670975,53.06122448979592
xgboost,14,261,0.08584197336442907,0.09528762389126075,1.1800400956474466,0,0.09910648707523895,36.17021276595745
xgboost,16,261,0.9132274495137402,1.2761715208574393,10.542187963025471,0,0.8904691587852692,65.13409961685824
xgboost,17,245,0.10589674590856886,0.15294480813377934,0.46614638747061243,0,0.5155784726344282,84.21052631578947
xgboost,18,170,0.5160374315423902,0.7462109860189924,7.113559752324757,0,0.8180639231735716,66.47058823529412
xgboost,19,261,0.5236777477053288,0.6920568919288765,10.158067711263264,0,0.7796104507929249,66.92307692307692
xgboost,20,170,0.5864865987241659,0.889227687459917,9.577222445082919,0,0.8801563105590431,65.29411764705883
xgboost,21,261,0.07692821653389635,0.09339008678755006,4.701441099254621,0,0.8651423153171462,51.93798449612403
xgboost,22,261,0.9221190190711088,1.286428830798486,6.289205114689709,0,0.8835289918996199,58.301158301158296
xgboost,23,260,0.4363774808882038,0.5749634385918414,7.3181566569017615,0,0.9140772605242571,51.92307692307693
xgboost,24,261,0.05816756107757414,0.08695038284318476,0.7007829312478001,0,0.7721880821186549,53.333333333333336
xgboost,25,261,0.1279628157016824,0.2210133047087495,1.8824151048795923,0,0.9177511671349496,52.14723926380368
xgboost,26,170,0.4162319954995548,0.6684626703323799,6.554757447514567,0,0.9772168509993364,54.11764705882353
xgboost,28,251,0.13690744381423756,0.15473376898713012,14.38619143901532,0,0.33998949574067894,50.607287449392715
xgboost,29,261,0.20459378842134182,0.28966137978079887,8.409509308978254,0,0.8666598130375249,51.153846153846146
xgboost,30,261,0.18840664965254844,0.25552390956058674,6.548014691168766,0,0.8055332380494978,52.10727969348659
xgboost,31,170,0.1640415481230792,0.28978596518778077,4.874676881868247,0,0.8544994183410497,54.11764705882353
xgboost,32,170,0.10996910264819278,0.14273918805532337,5.308650063912664,0,0.7723336096434523,56.213017751479285
xgboost,33,257,0.575354544665563,0.7987631661530861,11.27706556880647,0,0.8567443570377828,61.86770428015564
xgboost,34,261,0.27339846627396597,0.4058259448585186,13.632466765211374,0,0.7280474109717134,50.95785440613027
xgboost,35,130,0.5876010006700825,1.0186444942746051,7.360952504354885,0,0.2351992769547674,53.07692307692308
xgboost,36,261,0.17008480096949366,0.2292923545383684,3.7797580684287846,0,0.7547055275696125,54.054054054054056
xgboost,37,261,0.14327480025106712,0.19952925551180853,6.423187147203229,0,0.7168726458190432,55.172413793103445
xgboost,38,261,0.09221379715362067,0.12341654760935354,2.475267068710197,0,0.9497467233564636,48.63813229571984
xgboost,39,105,0.2826029616058188,0.3727174340035445,3.083528855331897,0,0.8120283165775171,49.523809523809526
xgboost,40,261,0.04036900010821464,0.051922855857175335,1.68679774115877,0,0.90042428896703,57.936507936507944
xgboost,41,196,0.1312531058430401,0.17958212601453133,2.4841122889133933,0,0.9760487885260111,54.08163265306123
xgboost,44,261,0.06059810124588499,0.08233712940969691,2.1158235759376356,0,0.9411921818455274,56.52173913043478
xgboost,51,193,0.2058039576739639,0.27294310699196284,3.313830704070323,0,0.42863083777402533,51.832460732984295
xgboost,52,261,0.1021723985596483,0.1400165552750807,1.009029465904705,0,0.9293337634456864,55.833333333333336
xgboost,53,261,0.09089037683453657,0.11666965514529895,0.8651983202971244,0,0.9373190581711869,46.34146341463415
xgboost,54,261,0.16057842832705796,0.20522422097546036,1.1235095921415905,0,0.8253841826339872,50.476190476190474
xgboost,55,224,0.036256211207026615,0.04115096475319692,1.6594510545202275,0,0.9257521744468297,58.92857142857143
xgboost,56,261,0.034487901465950696,0.04371588112731504,1.4689778317795832,0,0.881148688756364,67.5
xgboost,57,261,0.11234349573556783,0.20790160087583953,0.7928832790322934,0,0.6344854624507199,61.07784431137725
xgboost,58,248,0.09812910372211092,0.14281553189341337,0.9484384153752112,0,0.7075036072308114,52.21674876847291
