segment,model,series_id,row_count,mae,rmse,mape_percent
all_validation,ridge,8,32,0.01142832636833191,0.01274103890470064,0.09142661094665527
all_validation,ridge,10,32,0.03288412690162651,0.04359509595462721,0.512246348629889
all_validation,ridge,11,32,0.01016194200515752,0.013798831048831409,0.06113549515796848
all_validation,ridge,12,32,0.025075063109397888,0.02874649397754583,0.4559102383526889
all_validation,ridge,13,32,0.010888449668884581,0.014645196652443562,0.04225734338062088
all_validation,ridge,14,32,0.008848361611366207,0.010684865465305077,0.12233321735609301
all_validation,ridge,16,32,0.41954788804054266,0.7234913639285065,5.481326308229191
all_validation,ridge,17,32,0.010424232482909357,0.01181828963438929,0.047599235081777894
all_validation,ridge,18,32,0.1949996560811997,0.29126876881754554,3.1610848297299348
all_validation,ridge,19,32,0.3225221037864685,0.4284514205782388,7.504961160077325
all_validation,ridge,20,32,0.3706854513287544,0.5690509623090254,8.263667594482833
all_validation,ridge,21,32,0.018376392126083385,0.03002726836268526,1.0172188646114215
all_validation,ridge,22,32,0.48253278136253375,0.9205350749898433,3.7472569914410543
all_validation,ridge,23,32,0.43917580914497373,0.781719226800861,7.705121562210675
all_validation,ridge,24,32,0.008216996192932036,0.010817332555687793,0.10194784358476469
all_validation,ridge,25,32,0.010317500829696735,0.01185736124989838,0.16749189658598596
all_validation,ridge,26,32,0.7174609094858169,1.13712344061261,6.874620751715479
all_validation,ridge,28,32,0.02957720708847044,0.04147770248615635,2.8473841944363274
all_validation,ridge,29,32,0.1491663669347763,0.23743702949443332,6.259253979712898
all_validation,ridge,30,32,0.20753949940204625,0.3158800094996083,5.7191449282227005
all_validation,ridge,31,32,0.088038135766983,0.12682125074523984,4.252421662910802
all_validation,ridge,32,32,0.03386952817440035,0.0667719369459262,1.4574220589027236
all_validation,ridge,33,32,0.4116775795817375,0.5138017124501295,18.152469990371838
all_validation,ridge,34,32,0.26487531781196594,0.5733660854840885,12.078942362140562
all_validation,ridge,35,32,0.779289722442627,1.4709745992524859,6.506219456491003
all_validation,ridge,36,32,0.14933263093233104,0.27516688709743364,3.431735058771363
all_validation,ridge,37,32,0.15882250368595124,0.28205981120293866,6.683558808639344
all_validation,ridge,38,32,0.08192576658725728,0.14055037950027444,1.7953347674837152
all_validation,ridge,39,32,0.35992725849151613,0.6824360234299207,2.7511213582410954
all_validation,ridge,40,32,0.035411912202835155,0.06388516066535026,1.660989426877984
all_validation,ridge,41,32,0.01934966444969194,0.0214902002192834,0.31209136209180544
all_validation,ridge,44,32,0.021083983182907162,0.039082991698427674,0.7685270201764604
all_validation,ridge,50,20,1.8156492233276367,3.870724197618147,10.44753911576826
all_validation,ridge,51,20,0.20365451622009276,0.2795229064020657,3.195557962214838
all_validation,ridge,52,32,0.04892443728447016,0.12786208263840404,0.5083038847627397
all_validation,ridge,53,32,0.06584121847152669,0.13558506607743848,0.6656449836254933
all_validation,ridge,54,32,0.017810294151306416,0.038959705308817705,0.1209201772745032
all_validation,ridge,55,32,0.012188888788223273,0.02583810192265817,0.5487545111031426
all_validation,ridge,56,32,0.01124688029289242,0.021093401467952806,0.48538798041510844
all_validation,ridge,57,32,0.008664900064468517,0.010546560386403626,0.07190788435243582
all_validation,ridge,58,32,0.019672882556915294,0.02498094713345179,0.18739017483952294
all_validation,ridge,59,32,0.07122033834457464,0.1284681512921923,0.5067774373923096
all_validation,ridge,60,32,0.00847851634025587,0.010467136660042108,0.0823156926238434
all_validation,ridge,61,32,0.013644677400589389,0.015342941559411143,0.09887447391731441
price_change,baseline_lag_1,3,6,0.06933333333333332,0.07595173906281978,8.522464088880389
price_change,baseline_lag_1,10,1,0.15500000000000025,0.15500000000000025,2.4053382991930516
price_change,baseline_lag_1,16,19,0.7126315789473685,0.9977078994533315,9.17926258683979
price_change,baseline_lag_1,18,13,0.3115384615384616,0.3849325615261418,5.03985738307271
price_change,baseline_lag_1,19,22,0.43954545454545446,0.5435531252784772,10.17486958461992
price_change,baseline_lag_1,20,18,0.4577777777777776,0.7144617243460669,9.425387274541663
price_change,baseline_lag_1,21,4,0.0824999999999999,0.08979142498033979,4.62469080022271
price_change,baseline_lag_1,22,9,1.3666666666666667,1.7540429489230493,10.462325464198534
price_change,baseline_lag_1,23,21,0.6386190476190475,1.0248741850774146,11.262152614121106
price_change,baseline_lag_1,26,14,1.132142857142857,1.4400830829206643,11.702244670825147
price_change,baseline_lag_1,28,10,0.06150000000000001,0.07468533992692275,5.91247111105704
price_change,baseline_lag_1,29,14,0.2855,0.3545406484855741,11.351319893656795
price_change,baseline_lag_1,30,13,0.4073076923076923,0.4897664278471463,11.22024894870999
price_change,baseline_lag_1,31,22,0.1272727272727273,0.16547452426829387,6.048239353752498
price_change,baseline_lag_1,32,5,0.11600000000000002,0.1577339532250428,4.849498918809014
price_change,baseline_lag_1,33,15,0.5066666666666665,0.6028377338333536,17.367671537582208
price_change,baseline_lag_1,34,23,0.3282608695652174,0.6765834888550742,13.563435360559719
price_change,baseline_lag_1,35,9,2.3722222222222222,2.876581690517796,20.045939198687666
price_change,baseline_lag_1,36,8,0.463125,0.5563075812893439,10.60999477795716
price_change,baseline_lag_1,37,11,0.34181818181818174,0.4713423770080899,14.110478120355355
price_change,baseline_lag_1,38,5,0.3023999999999999,0.32691772665305247,6.6990649615424696
price_change,baseline_lag_1,39,7,0.9342857142857142,1.2770277992275658,7.108201139364128
price_change,baseline_lag_1,40,3,0.15400000000000005,0.18861071019430467,7.321577789162238
price_change,baseline_lag_1,44,4,0.09350000000000014,0.10380028901693887,3.4036006533903977
price_change,baseline_lag_1,50,7,4.414285714285714,6.406135451937575,25.911691304375832
price_change,baseline_lag_1,51,11,0.44,0.6197213450047896,6.761096853672331
price_change,baseline_lag_1,52,1,0.6669999999999998,0.6669999999999998,6.996748138046784
price_change,baseline_lag_1,53,1,0.6669999999999998,0.6669999999999998,6.852974416932084
price_change,baseline_lag_1,54,1,0.20000000000000107,0.20000000000000107,1.3636053726051753
price_change,baseline_lag_1,55,1,0.1499999999999999,0.1499999999999999,6.479481641468679
price_change,baseline_lag_1,56,1,0.1200000000000001,0.1200000000000001,5.000000000000004
price_change,baseline_lag_1,58,1,0.09999999999999964,0.09999999999999964,0.952380952380949
price_change,baseline_lag_1,59,1,0.7000000000000011,0.7000000000000011,5.14705882352942
price_change,gradient_boosting,3,6,0.05213920878908995,0.056826300654239686,6.544877045376383
price_change,gradient_boosting,10,1,0.15678250953621387,0.15678250953621387,2.432999837619706
price_change,gradient_boosting,16,19,0.6932989914520883,0.9947984562479073,8.983859466210717
price_change,gradient_boosting,18,13,0.30605595063085966,0.3584967573364531,4.897312443934657
price_change,gradient_boosting,19,22,0.43593693036013614,0.5414703383027742,10.128517438145744
price_change,gradient_boosting,20,18,0.49027636690611803,0.7154423581288902,10.154080295257565
price_change,gradient_boosting,21,4,0.07468531254564853,0.08663169208844339,4.152857199460171
price_change,gradient_boosting,22,9,1.3596600754569959,1.7926146016288602,10.270522129062513
price_change,gradient_boosting,23,21,0.6189445742244659,0.9947584288609914,10.92613374446275
price_change,gradient_boosting,26,14,1.1279136066802122,1.4921944104806495,11.403170415113163
price_change,gradient_boosting,28,10,0.07532290223696586,0.09344143840966865,6.914472689597284
price_change,gradient_boosting,29,14,0.2886199239930191,0.36070551116050215,11.365927611762032
price_change,gradient_boosting,30,13,0.4167835140271404,0.4951374798851539,11.443850727382548
price_change,gradient_boosting,31,22,0.11410814913781238,0.16187606849808625,5.512536679001762
price_change,gradient_boosting,32,5,0.10485177557330765,0.15538477680914667,4.341483327963117
price_change,gradient_boosting,33,15,0.5504227684991858,0.633257139744334,20.4527298072407
price_change,gradient_boosting,34,23,0.37818021461198403,0.6934037975790801,15.4559062228129
price_change,gradient_boosting,35,9,2.2026494089601822,2.7638002897788807,18.404052987489717
price_change,gradient_boosting,36,8,0.4479625293768859,0.5447138900137302,10.297442794282272
price_change,gradient_boosting,37,11,0.31876043416591276,0.4577679171929675,13.226965527113363
price_change,gradient_boosting,38,5,0.31887873890349405,0.3317815421672207,7.1235397013607304
price_change,gradient_boosting,39,7,0.9936344827645949,1.301111133283774,7.528451799045989
price_change,gradient_boosting,40,3,0.14984244229661328,0.19041435912370153,7.162840544397535
price_change,gradient_boosting,44,4,0.09750312989196208,0.10113811499566944,3.56467406409795
price_change,gradient_boosting,50,7,4.199320286228002,5.984706362449108,24.88823313645179
price_change,gradient_boosting,51,11,0.4207158349135067,0.5933834842832872,6.4809980546803345
price_change,gradient_boosting,52,1,0.6077832089901065,0.6077832089901065,6.37557126812238
price_change,gradient_boosting,53,1,0.7189572189652207,0.7189572189652207,7.386799742784554
price_change,gradient_boosting,54,1,0.25876696709527813,0.25876696709527813,1.76428013291933
price_change,gradient_boosting,55,1,0.12369561921958061,0.12369561921958061,5.343223292422489
price_change,gradient_boosting,56,1,0.10241362694293521,0.10241362694293521,4.267234455955634
price_change,gradient_boosting,58,1,0.0541962345101652,0.0541962345101652,0.5161546143825256
price_change,gradient_boosting,59,1,0.7782672540841507,0.7782672540841507,5.722553338854049
price_change,ridge,3,6,0.061937631607055656,0.0679645819932464,7.6076979920047485
price_change,ridge,10,1,0.17327856445312495,0.17327856445312495,2.688990758118016
price_change,ridge,16,19,0.618657320926064,0.9302333601078352,7.952887951233711
price_change,ridge,18,13,0.3488617897033692,0.4405109589410462,5.719011294514084
price_change,ridge,19,22,0.4126142926649614,0.5077886839647162,9.651453658018013
price_change,ridge,20,18,0.5337741830613876,0.7403081317946079,11.52881940020846
price_change,ridge,21,4,0.06301403522491456,0.07556240418148681,3.527932151297493
price_change,ridge,22,9,1.3592020882500544,1.7159095814672247,10.461266038456305
price_change,ridge,23,21,0.5953639268420992,0.951360801198688,10.50184443877474
price_change,ridge,26,14,1.2422571863446916,1.665922007060154,12.33632623828742
price_change,ridge,28,10,0.049732546234130835,0.0648570799943897,4.575523437955778
price_change,ridge,29,14,0.2535104664393834,0.3459602370590921,10.081507524224957
price_change,ridge,30,13,0.4179477148789627,0.4865830350924449,11.586833568480987
price_change,ridge,31,22,0.11297931497747248,0.1500694903328723,5.5168112824075
price_change,ridge,32,5,0.11407625579833995,0.1586073939518971,4.769481801228826
price_change,ridge,33,15,0.6173319314320882,0.6929008440522169,23.396417118487946
price_change,ridge,34,23,0.3330762796816618,0.6718124969930015,14.34747984680716
price_change,ridge,35,9,2.226371235317654,2.740556572192485,18.81155076624093
price_change,ridge,36,8,0.45482422113418575,0.5409548823417316,10.46763102368159
price_change,ridge,37,11,0.31818954120982773,0.456034827148955,13.219893676462139
price_change,ridge,38,5,0.29359201660156237,0.33517875910667877,6.460554778684549
price_change,ridge,39,7,0.9979243632725306,1.3914941100538936,7.649048754941047
price_change,ridge,40,3,0.1546193224589031,0.19079064916757804,7.36074167990189
price_change,ridge,44,4,0.09058892726898193,0.10366819408926606,3.292719198742058
price_change,ridge,50,7,4.443775068010602,6.513013152763396,26.171732927255075
price_change,ridge,51,11,0.3100592093034224,0.36708162225666163,4.894529725603424
price_change,ridge,52,1,0.6969070358276372,0.6969070358276372,7.310469273341417
